tense_contraction;traditional_contraction;0
unfortunate_contraction;unique_contraction;1
sound_contraction;sticky_contraction;2
similar_contraction;sick_contraction;3
technical_contraction;usual_contraction;4
uneasy_contraction;soft_contraction;5
unpleasant_contraction;tropical_contraction;6
solar_contraction;traditional_contraction;7
strange_contraction;true_contraction;8
strict_contraction;skilled_contraction;9
sticky_contraction;thoughtful_contraction;10
talkative_contraction;subsequent_contraction;11
standard_contraction;skilled_contraction;12
uneasy_contraction;sound_contraction;13
unique_contraction;sophisticated_contraction;14
unfair_contraction;social_contraction;15
trivial_contraction;ugly_contraction;16
vague_contraction;stable_contraction;17
unexpected_contraction;talented_contraction;18
tropical_contraction;terminal_contraction;19
surprising_contraction;thoughtful_contraction;20
soft_contraction;systematic_contraction;21
standard_contraction;vague_contraction;22
tough_contraction;strong_contraction;23
toxic_contraction;usual_contraction;24
spatial_contraction;supplementary_contraction;25
systematic_contraction;unfair_contraction;26
sticky_contraction;traditional_contraction;27
strategic_contraction;ultimate_contraction;28
thin_contraction;unfortunate_contraction;29
square_contraction;spontaneous_contraction;30
unemployed_contraction;still_contraction;31
sophisticated_contraction;unlike_contraction;32
stable_contraction;transparent_contraction;33
statistical_contraction;still_contraction;34
tense_contraction;successful_contraction;35
traditional_contraction;thin_contraction;36
ugly_contraction;trivial_contraction;37
solar_contraction;typical_contraction;38
technical_contraction;sharp_contraction;39
unlikely_contraction;superior_contraction;40
strong_contraction;sick_contraction;41
similar_contraction;social_contraction;42
sticky_contraction;sour_contraction;43
specified_contraction;surprised_contraction;44
superior_contraction;superior_contraction;45
tropical_contraction;sufficient_contraction;46
useless_contraction;unfair_contraction;47
tasty_contraction;spontaneous_contraction;48
slow_contraction;tidy_contraction;49
tolerant_contraction;tense_contraction;50
sour_contraction;supplementary_contraction;51
statistical_contraction;unaware_contraction;52
vague_contraction;tired_contraction;53
unaware_contraction;vague_contraction;54
short_contraction;socialist_contraction;55
sick_contraction;sophisticated_contraction;56
stubborn_contraction;unlikely_contraction;57
thin_contraction;terminal_contraction;58
unique_contraction;typical_contraction;59
square_contraction;subsequent_contraction;60
statistical_contraction;thin_contraction;61
similar_contraction;subjective_contraction;62
unlikely_contraction;tidy_contraction;63
subsequent_contraction;tense_contraction;64
toxic_contraction;social_contraction;65
ultimate_contraction;unlawful_contraction;66
tight_contraction;useful_contraction;67
unfair_contraction;surprising_contraction;68
sophisticated_contraction;true_contraction;69
standard_contraction;sour_contraction;70
unique_contraction;uncomfortable_contraction;71
solid_contraction;square_contraction;72
skilled_contraction;vague_contraction;73
strategic_contraction;tense_contraction;74
subsequent_contraction;sound_contraction;75
terminal_contraction;unemployed_contraction;76
smart_contraction;stable_contraction;77
tense_contraction;soft_contraction;78
sharp_contraction;technical_contraction;79
tense_contraction;unique_contraction;80
sick_contraction;structural_contraction;81
temporary_contraction;solid_contraction;82
thirsty_contraction;social_contraction;83
structural_contraction;similar_contraction;84
unexpected_contraction;unexpected_contraction;85
stubborn_contraction;uniform_contraction;86
tropical_contraction;sharp_contraction;87
usual_contraction;smart_contraction;88
technical_contraction;straight_contraction;89
tidy_contraction;trivial_contraction;90
subjective_contraction;uniform_contraction;91
sick_contraction;ugly_contraction;92
strange_contraction;tasty_contraction;93
typical_contraction;unfortunate_contraction;94
stupid_contraction;ultimate_contraction;95
ugly_contraction;strict_contraction;96
short_contraction;surprised_contraction;97
tall_contraction;usual_contraction;98
tender_contraction;smooth_contraction;99
